DATETIME,Model,Accuracy,Feature function,Normalization,Feature function config,Feature function training time,Model config,Model training time
02-02-2018_13-22-01,logistic_reg,45.300000000000004,mfcc,False,"{'do_dct': True, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 13, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",43.032010078430176,"{'warm_start': False, 'C': 1.5, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",92.55338406562805
02-02-2018_13-24-56,neural_net,76.200000000000003,mfcc,False,"{'do_dct': True, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 13, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",43.032010078430176,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (500,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",174.03562688827515
02-02-2018_13-31-51,logistic_reg,45.300000000000004,mfcc,True,"{'do_dct': True, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 13, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",44.365082025527954,"{'warm_start': False, 'C': 1.5, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",93.52677011489868
02-02-2018_13-34-43,neural_net,76.200000000000003,mfcc,True,"{'do_dct': True, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 13, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",44.365082025527954,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (500,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",171.68060684204102
02-02-2018_14-14-44,logistic_reg,45.300000000000004,mfcc,True,"{'do_dct': True, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 13, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",49.446475982666016,"{'warm_start': False, 'C': 1.5, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",94.53536009788513
02-02-2018_14-17-51,neural_net,76.200000000000003,mfcc,True,"{'do_dct': True, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 13, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",49.446475982666016,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (500,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",186.0930941104889
02-02-2018_14-21-49,logistic_reg,45.300000000000004,mfcc,True,"{'do_dct': True, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 13, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",47.54930901527405,"{'warm_start': False, 'C': 1.5, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",104.11150407791138
02-02-2018_14-24-52,neural_net,76.200000000000003,mfcc,True,"{'do_dct': True, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 13, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",47.54930901527405,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (500,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",182.68209791183472
02-02-2018_17-02-44,logistic_reg,45.300000000000004,mfcc,True,"{'do_dct': True, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 13, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",47.69084596633911,"{'warm_start': False, 'C': 1.5, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",91.75777101516724
02-02-2018_17-05-34,neural_net,76.200000000000003,mfcc,True,"{'do_dct': True, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 13, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",47.69084596633911,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (500,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",170.1396360397339
